count,avgPrice,vehicleType,year,power,mileage,brand,transmission,Damage
16,3.605,6,2005,128.8,143.438,0,1,1
22,4.555,6,2006,138,139.545,0,1,1
22,5.749,6,2007,144.1,132.045,0,1,1
4,6.425,6,2008,134.3,123.75,0,1,1
5,4.28,6,2009,132.4,93,0,1,1
5,6.944,6,2010,103.6,90,0,1,1
1,9.999,6,2011,117,125,0,1,1
2,13.425,6,2012,124,60,0,1,1
4,8.948,6,2013,93.5,32.5,0,1,1
5,9.25,6,2014,105.8,28,0,1,1
4,15.062,6,2015,124,11.25,0,1,1
1,2,8,1992,200,150,0,1,1
1,0.5,8,1993,103,100,0,1,1
1,1.25,8,1994,75,60,0,1,1
1,0.5,8,1995,136,150,0,1,1
7,0.428,8,1996,111.3,150,0,1,1
7,0.436,8,1997,122.7,150,0,1,1
17,0.585,8,1998,115.9,143.824,0,1,1
28,0.602,8,1999,111.1,143.929,0,1,1
21,0.816,8,2000,130.2,135.238,0,1,1
23,0.716,8,2001,115.3,140.435,0,1,1
34,1.132,8,2002,107.9,141.176,0,1,1
31,1.332,8,2003,109.9,146.129,0,1,1
23,1.764,8,2004,121.7,146.304,0,1,1
27,2.583,8,2005,136.7,146.296,0,1,1
18,3.311,8,2006,135.8,145.833,0,1,1
12,3.438,8,2007,140.5,147.917,0,1,1
10,4.298,8,2008,144.3,137.5,0,1,1
3,7.25,8,2009,133.7,121.667,0,1,1
7,5.963,8,2010,130.1,127.143,0,1,1
2,6.825,8,2011,102.5,65,0,1,1
2,9.6,8,2012,163,40,0,1,1
3,10.383,8,2013,110.7,68.333,0,1,1
2,10.1,8,2014,137,25,0,1,1
1,0.3,10,1991,122,150,0,1,1
1,2.75,10,1994,90,20,0,1,1
3,1.233,10,1995,61,90,0,1,1
1,0.5,10,1997,133,150,0,1,1
1,1,10,1998,102,150,0,1,1
16,0.678,10,1999,98.5,146.875,0,1,1
23,0.89,10,2000,112.2,137.174,0,1,1
27,0.92,10,2001,103.7,141.852,0,1,1
23,1.103,10,2002,118.2,142.826,0,1,1
31,1.138,10,2003,107.4,142.419,0,1,1
34,2.041,10,2004,113.4,140,0,1,1
23,2.313,10,2005,133.3,143.478,0,1,1
22,3.548,10,2006,135.3,138.409,0,1,1
15,4.565,10,2007,131.6,134,0,1,1
9,3.061,10,2008,115.8,125.556,0,1,1
6,5.98,10,2009,149.5,145.833,0,1,1
1,4.8,10,2010,110,80,0,1,1
5,9.68,10,2011,120.2,46,0,1,1
1,12.5,10,2014,80,20,0,1,1
68,10.617,2,1991,203.8,140.956,1,0,0
93,11.123,2,1992,198.2,137.312,1,0,0
101,10.045,2,1993,217.4,133.96,1,0,0
106,8.608,2,1994,189.2,134.104,1,0,0
